id,name,acronym,graph_id,rgb_triplet,structure_id_path,structure_set_ids
121,"Lateral visual area, layer 6b,VISl6b","['layer 6b', 'VISl6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 409, 121]","[396673091, 691663206, 667481450, 12, 184527634]"
385,"Primary visual area,VISp",['VISp'],1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 112905813, 167587189, 114512891, 114512892]"
593,"Primary visual area, layer 1,VISp1","['layer 1', 'VISp1']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 593]","[667481440, 396673091, 691663206, 12, 184527634]"
821,"Primary visual area, layer 2/3,VISp2/3","['layer 2/3', 'VISp2/3']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 821]","[667481441, 396673091, 691663206, 12, 184527634]"
721,"Primary visual area, layer 4,VISp4","['layer 4', 'VISp4']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 721]","[396673091, 667481445, 691663206, 12, 184527634]"
778,"Primary visual area, layer 5,VISp5","['layer 5', 'VISp5']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 778]","[396673091, 691663206, 667481446, 12, 184527634]"
33,"Primary visual area, layer 6a,VISp6a","['layer 6a', 'VISp6a']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 33]","[396673091, 691663206, 667481449, 12, 184527634]"
305,"Primary visual area, layer 6b,VISp6b","['layer 6b', 'VISp6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 385, 305]","[396673091, 691663206, 667481450, 12, 184527634]"
425,"Posterolateral visual area,VISpl",['VISpl'],1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
750,"Posterolateral visual area, layer 1,VISpl1","['layer 1', 'VISpl1']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 750]","[667481440, 396673091, 691663206, 12, 184527634]"
269,"Posterolateral visual area, layer 2/3,VISpl2/3","['layer 2/3', 'VISpl2/3']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 269]","[667481441, 396673091, 691663206, 12, 184527634]"
